"Step","deep-planet-14 - effective_dim","deep-planet-14 - effective_dim__MIN","deep-planet-14 - effective_dim__MAX"
"11040","330","330","330"
"11050","298","298","298"
"11060","344","344","344"
"11070","300","300","300"
"11080","300","300","300"
"11090","300","300","300"
"11100","330","330","330"
"11110","276","276","276"
"11120","354","354","354"
"11130","348","348","348"
"11140","330","330","330"
"11150","310","310","310"
"11160","312","312","312"
"11170","223","223","223"
"11180","316","316","316"
"11190","326","326","326"
"11200","342","342","342"
"11210","344","344","344"
"11220","344","344","344"
"11230","330","330","330"
"11240","344","344","344"
"11250","342","342","342"
"11260","266","266","266"
"11270","322","322","322"
"11280","354","354","354"
"11290","356","356","356"
"11300","362","362","362"
"11310","330","330","330"
"11320","356","356","356"
"11330","344","344","344"
"11340","334","334","334"
"11350","304","304","304"
"11360","346","346","346"
"11370","298","298","298"
"11380","294","294","294"
"11390","320","320","320"
"11400","320","320","320"
"11410","296","296","296"
"11420","356","356","356"
"11430","328","328","328"
"11440","314","314","314"
"11450","348","348","348"
"11460","342","342","342"
"11470","340","340","340"
"11480","338","338","338"
"11490","322","322","322"
"11500","264","264","264"
"11510","280","280","280"
"11520","308","308","308"
"11530","302","302","302"
"11540","344","344","344"
"11550","316","316","316"
"11560","362","362","362"
"11570","312","312","312"
"11580","352","352","352"
"11590","298","298","298"
"11600","346","346","346"
"11610","316","316","316"
"11620","348","348","348"
"11630","324","324","324"
"11640","322","322","322"
"11650","302","302","302"
"11660","330","330","330"
"11670","338","338","338"
"11680","322","322","322"
"11690","304","304","304"
"11700","350","350","350"
"11710","330","330","330"
"11720","386","386","386"
"11730","298","298","298"
"11740","368","368","368"
"11750","338","338","338"
"11760","326","326","326"
"11770","300","300","300"
"11780","352","352","352"
"11790","332","332","332"
"11800","346","346","346"
"11810","300","300","300"
"11820","326","326","326"
"11830","344","344","344"
"11840","350","350","350"
"11850","318","318","318"
"11860","344","344","344"
"11870","354","354","354"
"11880","336","336","336"
"11890","356","356","356"
"11900","342","342","342"
"11910","336","336","336"
"11920","274","274","274"
"11930","330","330","330"
"11940","316","316","316"
"11950","350","350","350"
"11960","296","296","296"
"11970","366","366","366"
"11980","278","278","278"
"11990","366","366","366"
"12000","316","316","316"
"12010","324","324","324"
"12020","310","310","310"
"12030","362","362","362"
"12040","218","218","218"
"12050","294","294","294"
"12060","338","338","338"
"12070","334","334","334"
"12080","312","312","312"
"12090","306","306","306"
"12100","344","344","344"
"12110","334","334","334"
"12120","326","326","326"
"12130","352","352","352"
"12140","344","344","344"
"12150","342","342","342"
"12160","312","312","312"
"12170","304","304","304"
"12180","316","316","316"
"12190","340","340","340"
"12200","334","334","334"
"12210","322","322","322"
"12220","350","350","350"
"12230","334","334","334"
"12240","356","356","356"
"12250","302","302","302"
"12260","304","304","304"
"12270","342","342","342"
"12280","324","324","324"
"12290","304","304","304"
"12300","304","304","304"
"12310","372","372","372"
"12320","362","362","362"
"12330","368","368","368"
"12340","320","320","320"
"12350","358","358","358"
"12360","338","338","338"
"12370","350","350","350"
"12380","314","314","314"
"12390","346","346","346"
"12400","328","328","328"
"12410","334","334","334"
"12420","362","362","362"
"12430","348","348","348"
"12440","266","266","266"
"12450","316","316","316"
"12460","296","296","296"
"12470","334","334","334"
"12480","370","370","370"
