"Step","tpu-v4-spmd-resumed-18000 - train/loss","tpu-v4-spmd-resumed-18000 - train/loss__MIN","tpu-v4-spmd-resumed-18000 - train/loss__MAX"
"29660","8.8125","8.8125","8.8125"
"29680","7.125","7.125","7.125"
"29700","6.3125","6.3125","6.3125"
"29720","7.25","7.25","7.25"
"29740","7.75","7.75","7.75"
"29760","6.15625","6.15625","6.15625"
"29780","6.90625","6.90625","6.90625"
"29800","9.6875","9.6875","9.6875"
"29820","7.25","7.25","7.25"
"29840","7.34375","7.34375","7.34375"
"29860","6.34375","6.34375","6.34375"
"29880","6.53125","6.53125","6.53125"
"29900","7","7","7"
"29920","8","8","8"
"29940","7.125","7.125","7.125"
"29960","6.5625","6.5625","6.5625"
"29980","6.9375","6.9375","6.9375"
"30000","7.9375","7.9375","7.9375"
"30020","6.6875","6.6875","6.6875"
"30040","7.8125","7.8125","7.8125"
"30060","7.1875","7.1875","7.1875"
"30080","9.3125","9.3125","9.3125"
"30100","7.90625","7.90625","7.90625"
"30120","7.3125","7.3125","7.3125"
"30140","9.6875","9.6875","9.6875"
"30160","7.15625","7.15625","7.15625"
"30180","8.1875","8.1875","8.1875"
"30200","6.46875","6.46875","6.46875"
"30220","6.75","6.75","6.75"
"30240","7.625","7.625","7.625"
"30260","9.75","9.75","9.75"
"30280","11.125","11.125","11.125"
"30300","15.5625","15.5625","15.5625"
"30320","9.375","9.375","9.375"
"30340","10.6875","10.6875","10.6875"
"30360","8","8","8"
"30380","12.1875","12.1875","12.1875"
"30400","6.78125","6.78125","6.78125"
"30420","6.53125","6.53125","6.53125"
"30440","7.96875","7.96875","7.96875"
"30460","6.75","6.75","6.75"
"30480","7.1875","7.1875","7.1875"
"30500","7.03125","7.03125","7.03125"
"30520","7.5","7.5","7.5"
"30540","9.4375","9.4375","9.4375"
"30560","10.625","10.625","10.625"
"30580","6.75","6.75","6.75"
"30600","8.125","8.125","8.125"
"30620","7.0625","7.0625","7.0625"
"30640","7.125","7.125","7.125"
"30660","7.625","7.625","7.625"
"30680","7.75","7.75","7.75"
"30700","7.15625","7.15625","7.15625"
"30720","9.3125","9.3125","9.3125"
