"Step","tpu-v4-spmd-resumed-0 - train/full_l40_prior","tpu-v4-spmd-resumed-0 - train/full_l40_prior__MIN","tpu-v4-spmd-resumed-0 - train/full_l40_prior__MAX"
"12060","0.44140625","0.44140625","0.44140625"
"12080","0.43359375","0.43359375","0.43359375"
"12100","0.578125","0.578125","0.578125"
"12120","0.5078125","0.5078125","0.5078125"
"12140","0.431640625","0.431640625","0.431640625"
"12160","0.640625","0.640625","0.640625"
"12180","0.75390625","0.75390625","0.75390625"
"12200","0.6171875","0.6171875","0.6171875"
"12220","1.5703125","1.5703125","1.5703125"
"12240","0.53125","0.53125","0.53125"
"12260","1.546875","1.546875","1.546875"
"12280","0.51171875","0.51171875","0.51171875"
"12300","0.50390625","0.50390625","0.50390625"
"12320","0.71875","0.71875","0.71875"
"12340","0.7890625","0.7890625","0.7890625"
"12360","0.59375","0.59375","0.59375"
"12380","0.51171875","0.51171875","0.51171875"
